"Participante; Reality ; Comentarios ; Repost ; Likes ; Views ;"
"Fernando ; GH ; 1 ; - ; 6 ; 1.979 ;"
"Maite; GH ; 1 ; - ; 3 ; 2.247 ;"
"Lucas; GH ; 4 ; - ; 2 ; 2.318 ;"
"Jennifer ; GH ; 2 ; 1 ; 8 ; 2.579 ;"
"Fran; GH ; 3 ; - ; 7 ; 3.465 ;"
"Hans ; GH ; - ; - ; 18 ; 2.881 ;"
"Jorge; GH ; 1 ; - ; 4 ; 2.618 ;"
"Monica; GH ; 2 ; 1 ; 18 ; 3.393 ;"
"Ariel; GH ; - ; - ; 12 ; 2.784 ;"
"Alessia; GH ; - ; 2 ; 12 ; 3.656 ;"
"Ruben; GH ; 1 ; 1 ; 9 ; 3.176 ;"
"Scarleth; GH ; 1 ; - ; 11 ; 3.163 ;"
"Trinidad; GH ; 1 ; - ; 2 ; 3.966 ;"
"Benja; GH ; 1 ; - ; 2 ; 2.398 ;"
"Cony; GH ; 1 ; - ; 4 ; 3.082 ;"
"Viviana; GH ; - ; - ; 16 ; 3.594 ;"
"Francisco; GH ; - ; - ; 1 ; 3.175 ;"
"Estefy; GH ; 1 ; 1 ; 3 ; 4.352 ;"
"TOTAL;; 20 ; 6 ; 138 ; 54.826 ;"
"Junior Playboy; TB ; 12 ; 15 ; 113 ; 15.400 ;"
"Eva G—mez ; TB ; 1 ; 10 ; 58 ; 8.500 ;"
"Pamela D’az; TB ; 290 ; 711 ; 7.403 ; 622.000 ;"
"Jhonatan Mujica; TB ; 55 ; 175 ; 731 ; 210 ;"
"La Guaren; TB ; 252 ; 164 ; 460 ; 290 ;"
"El futuro fuera de orbita ; TB ; 142 ; 104 ; 265 ; 114.000 ;"
"Azzart Meveth; TB ; 44 ; 69 ; 276 ; 71.400 ;"
"camilisima; TB ; 19 ; 28 ; 115 ; 19.400 ;"
"Miguelito; TB ; - ; - ; - ; - ;"
"Shirley Arica; TB ; 59 ; 55 ; 369 ; 53.400 ;"
"Camila Arismedi; TB ; 22 ; 17 ; 121 ; 22.100 ;"
"Fabio Agostini ; TB ; 19 ; 20 ; 194 ; 26.500 ;"
"Simon de la costa; TB ; - ; - ; - ; - ;"
"Luis Mateucci; TB ; 13 ; 9 ; 95 ; 7.311 ;"
"TOTAL;; 928 ; 1.377 ; 10.200 ; 960.511 ;"
